"No","업체명 [ENTPNAME] ","제품명 [ITEMNAME] ","품목기준코드 [ITEMSEQ] ","문항1(효능) [EFCYQESITM] ","문항2(사용법) [USEMETHODQESITM] ","문항3(주의사항 경고) [ATPNWARNQESITM] ","문항4(주의사항) [ATPNQESITM] ","문항5(상호작용) [INTRCQESITM] ","문항6(부작용) [SEQESITM] ","문항7(보관법) [DEPOSITMETHODQESITM] ","공개일자 [OPENDE] ","수정일자 [UPDATEDE] ","낱알이미지 [ITEMIMAGE] ","사업자등록번호 [BIZRNO] ","rownum"
"2567","(주)마더스제약","무조멘액","201501249","이 약은 무좀, 완선(사타구니백선), 체부백선에 사용합니다.","1일 2~3회 적당량을 환부(질환 부위)에 바릅니다.","","눈 또는 눈 주위, 점막(예를 들면 구강(입안), 비강(코안), 질 등), 음부, 외음부 등, 습진, 습윤(습기 참), 미란(짓무름), 균열(틈새) 또는 외상(상처)이 심한 환부(질환 부위)에는?이 약을 사용하지 마십시오.이 약 또는 화장품에 과민증 환자,?알레르기 체질인 환자,?환부(질환 부위)가 얼굴에 있거나 광범위한 환자,?환부(질환 부위)가 화농(곪음)성인 환자, ""습진""과 ""무좀ㆍ완선, 체부백선""의 구분이 불확실한 환자, 영ㆍ유아는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.이 약은 외용으로만 사용하고 내복하지 마십시오.눈에 들어가지 않도록 주의하십시오.환부(질환 부위) 또는 그 주위가 더러운 경우 바로 사용하지 마십시오.환부(질환 부위)까지 5 cm 거리를 두고 분무하고(뿌리고), 같은 부위에 연속 투여시 3초 이상 분무하지 마십시오.2주 정도 투여 후에도 증상의 개선이 보이지 않을 경우 사용을?중지하고 의사 또는 약사와 상의하십시오.","","발진, 발적(충혈되어 붉어짐), 가려움, 옻 등에 의한 피부염, 부종(부기), 자극감, 발열, 동통(통증), 미란(짓무름) 등의 증상이?나타나는 경우 사용을?중지하고 의사 또는 약사와 상의하십시오.","습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2021-01-29 00:00:00","2021-01-29","","3128629302","2567"
"2568","(주)제뉴파마","베트라겔","201501313","이 약은 정맥류상 부종, 표재성 정맥염, 사고시 외상, 운동시 부상(타박상), 건초염의 진통·소염에 사용합니다.","상처나 감염된 부위에 1일 수회 엷게 바른후 피부를 가볍게 문질러 줍니다.","","이 약 또는 살리실산염에 과민증 환자,?출산일 4주전 환자,?점막부위, 개방된 상처부위에 이 약을 사용하지 마십시오.이 약을 사용하기 전에 신생아 및 소아, 신(신장)부전,?임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.눈에 들어가지 않게 주의하고 너무 넓게 바르지 마십시오.외용으로만 사용하십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.","다른 혈액응고저지제(예, 쿠마린, 아스피린, 디피리다몰, 덱스트란, 스트렙토키나제 등)와 함께 사용 시 출혈이 증가 할 수 있으므로 의사 또는 약사와 상의하십시오.","드물게 피부염, 접촉 알레르기, 청각장애를 동반한 이명(귀울림)증, 코피, 구역, 구토, 가려움 및 피부 점막의 건조증 등이 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2021-01-29 00:00:00","2021-01-29","","7338802047","2568"
"2569","대화제약(주)","헤모스민캡슐(디오스민)","201501348","이 약은 치질과 정맥류, 정맥부전(임신시 포함), 정맥염후증후군에 의한 여러 증상(하지(다리)중압감, 동통(통증), 부종(부기) 등)의 개선과 자반(자주색 반점)증에 사용합니다.","성인은 1회 1캡슐(300 mg), 1일 2회 (점심, 저녁 식사 시) 복용합니다.치질의 재발이나 악화 시에는 1일 4~6캡슐(1,200~1,800 mg)까지 복용합니다.연령. 증상에 따라 적절히 증감 합니다.","","이 약에 과민증 환자, 임신초기 3개월 이내 여성은?이 약을 복용하지 마십시오.","","위장장애, 과민성 피부발진, 심계항진, 어지러움, 두통, 코·입의 건조감 등이 나타날 수 있습니다.","습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2021-01-29 00:00:00","2021-10-01","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NQppFCiRB1","1338122322","2569"
"2570","태극제약(주)","디페낙겔1%(디클로페낙디에틸암모늄)","201501386","이 약은 건, 인대, 근육 및 관절의 외상성 염증(삠, 타박상 등), 연조직 류마티스의 국소형(건초염, 어깨손증후군, 점액낭염, 관절주위염 등), 류마티스 질환의 국소형(말초관절 및 척추의 골관절증 등)의 진통·소염에 사용합니다.","12세 이상의 성인 및 청소년은 통증 부위의 면적에 따라 2~4 g을 1일 3~4회 환부에 바르고 가볍게 문지릅니다.","","이 약에 과민증 환자 또는 경험자, 아스피린 또는 기타의 비스테로이드성 소염진통제에 천식발작, 두드러기 또는 급성비염과 같은 과민증 환자 또는 경험자, 12세 이하의 소아, 임부 및 수유부는?이 약을 사용하지 마십시오.이 약을 사용하기 전에?기관지 천식, 고령자는 의사 또는 약사와 상의하십시오.병변이 있는 피부(출혈성 피부질환, 습진, 감염된 병변, 화상, 상처), 눈 및 점막부위에는 사용하지 마십시오.밀봉붕대법으로 사용하지?마십시오.사용 후에는 손을 깨끗이 씻으십시오.(손가락 관절에 사용하는 경우 제외)","지혈을?방해하는?약물(예:?와파린),?항혈소판제(예:?아스피린),?선택적?세로토닌?재흡수?억제제(SSRI)?및?세로토닌?노르에피네프린?재흡수?억제제(SNRI)와?함께 복용 시 의사 또는 약사와 상의하십시오.","매우 드물게 과민반응, 혈관신경성 부종, 천식, 탈락성?피부염,?피부점막안증후군(스티븐스-존슨증후군), 독성표피괴사용해(리엘증후군), 때때로 발진, 습진, 홍반 및 피부염(접촉성피부염 포함), 드물게 수포성 피부염, 매우 드물게 광과민반응, 농포성 발진,?위?또는?장관의?출혈,?궤양?및?천공 등이 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","실온에서 보관하십시오.","2025-01-31 00:00:00","2025-01-21","","1248134163","2570"
"2571","(주)테라젠이텍스","바이메틴정150밀리그램(트리메부틴말레산염)","201501469","이 약은 식도역류 및 열공헤르니아, 위·십이지장염, 위·십이지장궤양으로 인한 복통, 소화불량, 구역, 구토 등의 소화기능이상에 사용합니다.이 약은 과민성대장증후군 및 경련성 결장에 사용합니다.이 약은 습관성 구토, 비감염성 장관통과장애(변비, 설사) 등의 소아 질환에 사용합니다.","성인은 1회 100~200 mg씩, 1일 3회 식전에 복용합니다.연령 및 증상에 따라 적절히 증감할 수 있습니다.","","갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 임부, 수유부는 의사 또는 약사와 상의하십시오.수유부가 부득이 복용하는 경우 수유를 중지하십시오.","","드물게 변비, 설사, 복명, 구역, 구토, 소화장애, 구갈, 구내마비감, 심계항진, 피로감, 졸음, 현기, 권태감, 두통, GOT 상승, GPT 상승, 발진 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","실온에서 보관하십시오.","","2025-04-14","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcdxN","1348545665","2571"
"2572","일동제약(주)","캐롤디연질캡슐(덱시부프로펜)","201501315","이 약은 만성 다발성 관절염, 류마티스관절염, 관절증, 강직척추염, 외상 및 수술 후 통증성 부종 또는 염증, 염증, 통증 및 발열을 수반하는 감염증의 치료보조에 사용합니다.","성인은 1회 1캡슐(300 mg)씩, 1일 2~4회 복용합니다. 단, 1일 4캡슐(1,200 mg)을 초과하지 않습니다.","매일 세잔 이상 정기적 음주자가 이 약 또는 다른 해열진통제를 복용할 때는 의사 또는 약사와 상의하십시오. 위장출혈을 일으킬 수 있습니다.이 약 복용 시 치명적일 수 있는 중대한 심혈관계 혈전 반응, 심근경색증 및 뇌졸중의 위험이 증가하며, 위장관 출혈, 궤양 및 천공 등 심각한 위장관계 이상반응이 나타날 수 있습니다.","이 약에 과민증 환자, 위장관궤양 또는 경험자, 위장관이나 뇌혈관 또는 다른 부위의 출혈,?심한 혈액이상, 심한 간장애, 심한 신장장애, 심한 심장기능부전, 심한 고혈압, 기관지 천식 또는 경험자, 아스피린이나 다른?비스테로이드성?소염진통제에?천식, 두드러기 또는 알레르기 반응 경험자, 관상동맥(심장동맥) 우회로술(CABG) 전후 통증치료 환자, 임신 6개월 이상의 임부, 수유부, 크론병 또는 궤양성대장염과 같은 염증성장질환 환자, 이전의 비스테로이드성 소염진통제 치료로 인해 위장관 출혈 또는 천공 경험자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 혈액이상 또는 경험자, 출혈경향이 있는 환자, 간장애 또는 경험자,?신장애 또는 경험자,?체액저류(체액고임) 또는 심부전 환자, 고혈압, 과민증 경험자, 전신성 홍반성 루푸스(SLE) 및 혼합결합조직질환(MCTD), 고령자, 6세 이상의 어린이, 위암, 알코올중독 환자, 임신 초·중기의 임부 및 임신하고 있을 가능성이 있는 여성, 허혈심장병, 말초동맥 질환, 뇌혈관 질환, 심혈관 질환의 위험인자가 있는 환자(예, 고혈압, 고지혈증, 당뇨병, 흡연), 간성 포르피린증, 혈액부족을 초래한 중대한 외과수술, 혈액응고장애가 있거나 항응고제를 투여받고 있는 환자는 의사 또는 약사와 상의하십시오.약물투여의 중요성을 고려하여 수유를 중단하거나 약물투여를 중단하십시오.이 약 복용 후 어지러움 또는 피로가 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.급성질환에 장기 복용할 경우에는?원칙적으로 5일 이내로 합니다.","아스피린, 다른 비스테로이드성 소염진통제, 항암요법으로 사용하는 고용량(15 mg/주 이상)의 메토트렉세이트와 함께 복용하지 마십시오.이 약을 복용하기 전에 코르티코스테로이드, 알코올, 디곡신, 페니토인, 프로베네시드, 설핀피라존, 설포닐우레아제, ACE 억제제,?안지오텐신Ⅱ 수용체 길항제, 이뇨제, 리튬, 쿠마린계 항응고제(와르파린 등), 바클로펜, 면역억제제(시클로스포린, 타크로리무스, 시롤리무스), 혈전용해제, 티클로피딘, 항혈전제, 혈중 칼륨농도를 증가시키는 약물(트리메토프림, 헤파린 등), CYP2C8, CYP2C9의 유도제(예, 리팜피신, 페노바르비탈), 저용량(15 mg/주 미만)의 메토트렉세이트, 항혈소판제 및 선택적 세로토닌 재흡수 억제제, 심근경색이나 뇌졸중 예방목적으로 저용량 아스피린을 복용하는 사람은 의사 또는 약사와 상의하십시오.","드물게 쇽(흉부불쾌감, 오한, 호흡곤란, 혈압저하 등), 드물게 재생불량성빈혈, 용혈성빈혈, 과립백혈구감소, 백혈구감소, 무과립증, 범혈구감소, 혈소판감소, 혈소판기능저하(출혈시간 연장), 호산구중가 등의 혈액장애, 소화불량, 복부팽만, 속쓰림, 상복부의 통증, 설사나 변비, 때때로 식욕부진, 구역, 구토, 복통, 위부불쾌감이나 드물게 식도염, 식도협착, 게실악화, 비특이성 출혈성 대장염, 궤양성 대장염 또는 크론병, 소화성궤양 위장출혈, 천공, 혈변, 위염, 췌장염, 매우 드물게 구갈, 구내염, 다형홍반, 전신성 홍반성 루푸스(SLE), 탈모, 때때로 혈관부종, 드물게 피부점막안증후군(스티븐스-존슨 증후군) 및 독성표피괴사용해(리엘증후군), 빈도불명의 호산구 증가 및 전신 증후군을 동반한 약물 발진(DRESS 증후군), 때때로 발진, 두드러기, 가려움, 자색반, 드물게 천식발작의 유발, 습진, 아나필락시스 반응, 광민감반응, 드물게 황달, ALT 상승, AST 상승, ALP 상승, 간기능 이상, 간염, 황달, 때때로 비염, 기관지경련, 급성 폐렴, 드물게 무시, 암침 등의 시각장애, 난청, 이명, 미각이상, 피로, 졸음, 두통, 어지러움, 때때로 불안, 안절부절, 착란, 우울증, 드물게 무균성 수막염, 심한 두통, 구역, 구토, 불면, 목이 뻣뻣함, 발열 또는 의식장애, 드물게 정신이상, 초조, 흥분, 방향감각장애, 가역성 독성약시, 드물게 혈압저하, 혈압상승, 심계항진, 핍뇨, 혈뇨, 요단백, BUN, 혈중 크레아티닌의 상승, 고칼륨혈증, 요량감소, 전신부종 및 이에 수반한 숨가쁨, 나른함, 드물게 신장유두괴사, 신증후군, 간질신장염, 말초부종, 급성 폐부종, 체액저류, 고혈압, 심부전, 여성의 생식능력 감소, 때때로 안와주위부종, 매우 드물게 권태감, 발열, 코피, 염증악화 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2021-01-29 00:00:00","2025-04-02","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OeD8xwOeKA","6828500435","2572"
"2573","한국프라임제약(주)","오프콜드연질캡슐(수출용)","201501446","이 약은 감기의 여러 증상(콧물, 코막힘, 재채기, 인후통, 기침, 가래, 오한, 발열, 두통, 관절통, 근육통)의 완화에 사용합니다.","만 15세 이상 및 성인은 1회 2캡슐씩, 1일 3회 식후 30분에 복용합니다.","매일 세잔 이상 정기적 음주자가 이 약 또는 다른 해열진통제를 복용할 때는 의사 또는 약사와 상의하십시오. 간손상을 일으킬 수 있습니다.매우 드물게 치명적일 수 있는 급성전신발진고름물집증, 스티븐스-존슨증후군, 독성표피괴사용해와 같은 중대한 피부반응이 보고되었고 이 약 복용 후 피부발진 또는 다른 과민반응의 징후가 나타나는 경우 즉시 복용을 중단하십시오.아세트아미노펜으로 일일 최대 용량(4,000 mg)을 초과하여 복용하지 마십시오. 간손상을 일으킬 수 있습니다. 아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오.급성전신발진고름물집증과 같은 중증 피부 이상반응이 나타나는 경우 복용을 중단하고 의사 또는 약사와 상의하십시오.","이 약에 과민증 환자, 다른 해열진통제, 감기약 복용 시 천식 경험자, 만 3개월 미만의 영아 및 만 2세 미만의 소아, MAO억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등)를 복용하고 있거나 복용을 중단한 후 2주 이내의 사람은 이 약을 복용하지 마십시오.이 약을 복용하기 전에 수두 또는 인플루엔자에 감염되어 있거나 또는 의심되는 영아 및 만 15세 미만의 어린이, 슈도에페드린 성분과 관련하여 허혈성 대장염의 증상(급격한 복통, 직장 출혈 등)이 발현될 경우, 알레르기 체질, 약에 의한 알레르기 증상(예: 발열, 발진, 관절통, 천식, 가려움증 등) 경험자, 간장질환, 신장질환, 심장질환, 갑상선질환, 당뇨병, 고혈압, 위십이지장궤양, 녹내장(예: 눈의 통증, 눈이 침침함 등), 배뇨곤란, 고령자, 몸이 약한 사람 또는 고열이 있는 사람, 속쓰림, 위부불쾌감, 위통과 같은 위장문제가 지속 혹은 재발되거나 궤양, 출혈문제를 가지고 있는 사람, 임부 또는 임신하고 있을 가능성이 있는 여성, 수유부, 흡연, 천식, 만성 기관지염, 폐기종, 과도한 가래가 동반되는 기침, 1주 이상 지속 또는 재발되는 기침, 만성 기침, 발열·발진이나 지속적인 두통이 동반되는 기침 환자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.복용 후 졸음이 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.5~6회 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","진해거담제, 다른 감기약, 해열진통제, 진정제, 항히스타민제를 함유하는 내복약(비염용 경구제, 멀미약, 알레르기용약)과 함께 복용하지 마십시오.당뇨약, 통풍약, 관절염약, 항응고제, 스테로이드제, 바르비탈계 약물, 삼환계 항우울제 및 알코올과 함께 복용 시?의사 또는 약사와 상의하십시오.복용 중에는 음주하지 마십시오.","발진·발적, 가려움, 구역·구토, 식욕부진, 변비, 부기, 배뇨곤란, 목마름(지속적이거나 심한), 어지러움, 불안, 떨림, 불면, 드물게 쇽 증상(복용 후 바로 두드러기, 가슴답답함 등과 함께 안색이 창백하고, 손발이 차고, 식은땀, 숨쉬기 곤란함), 피부점막안증후군(스티븐스-존슨증후군), 독성표피괴사용해(고열을 동반하고, 발진·발적, 화상과 같이 물집이 생기는 심한 증상), 천식, 전신의 나른함, 황달, 간질성폐렴(기침을 동반하고, 숨이 차고, 호흡곤란, 발열) 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2024-01-09 00:00:00","2024-01-09","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427016107500081","4028524506","2573"
"2574","태극제약(주)","제라타딘정(로라타딘)","201501483","이 약은 알레르기성 비염(재채기, 코막힘, 가려움, 눈의 작열감), 만성 특발성(원인 불명의) 두드러기에 사용합니다.","성인 및 12세 이상의 소아는 1일 1회 1정(10 mg) 복용합니다.6~12세 미만의 소아는 체중이 30 kg이상인 경우 1일 1회 1정(10 mg), 30 kg이하인 경우 1일 1회 1/2정(5 mg) 복용합니다.연령, 증상에 따라 적절히 증감합니다.","","이 약에 과민증 환자,?만 6세 미만의 소아,?임부 및 수유부,갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에?간장애, 신부전 환자는 의사 또는 약사와 상의하십시오.","이 약을 복용하는 동안 시메티딘, 에리트로마이신, 케토코나졸, 퀴니딘, 플루코나졸, 플루옥세틴, 간 대사를 억제하는?약물을 함께 복용하지 마십시오.","진정작용, 항콜린작용, 두통, 실신, 졸음, 목마름, 위장장애(구역, 위염), 식욕증진, 빈맥, 피로, 발진, 탈모증, 혈관부종을 포함한 아나필락시스, 간기능 장애, 상실성 부정빈맥, 두근거림, 어지러움, 경련 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2021-01-29 00:00:00","2021-01-29","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1N7WiIONwzn","1248134163","2574"
"2575","(주)제뉴파마","케라네일캡슐(수출용)","201501488","이 약은 손상된 모발, 감염성이 아닌 손톱의 발육 부진, 탈모의 보조치료에 사용합니다.","성인은 1회 1캡슐씩, 1일 3회 식후에 복용합니다.?12세 이상 소아는 1회 1캡슐씩, 1일 1∼2회 식후에 복용합니다.","","이 약에 과민증, 12세 미만 소아, 남성형 대머리, 흉터로 인한 탈모, 안드로젠 유전성 탈모증 환자는 이약을 복용하지 마십시오.이 약을 복용하기 전에 임부 또는 임신하고 있을 가능성이 있는 여성, 수유부는 의사 또는 약사와 상의하십시오.3~4개월 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오. ?사용기한이 초과된 것은 복용하지 마십시오.","설폰아미드 제제와 함께 사용 시 의사 또는 약사와 상의하십시오.","위통, 구토 등 위장관 불쾌감, 발한, 빈맥, 가려움, 두드러기, 두통, 어지럼, 홍조, 두부이외의 신체부위 발모현상 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2023-04-28 00:00:00","2023-04-28","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427016107500098","7338802047","2575"
"2576","(주)일화","맥스타민프리미엄정","201501557","이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 발육기, 노년기의 비타민 B1, B2, B6, C, D, E의 보급과 신경통, 근육통, 관절통(요통, 어깨결림 등), 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 증상의 완화, 각기, 눈의 피로, 뼈, 이의 발육불량, 구루병의 예방과 아연의 보급에 사용합니다.","12세 이상 및 성인 1회 1정씩, 1일 1회 식후에 복용합니다.","","이 약에 과민증 환자, 만 12개월 미만의 젖먹이, 고칼슘혈증(혈액중에 칼슘이 과잉으로 존재하는 상태), 유육종증(원인을 알 수 없는 전신 염증질환), 신장질환, 신장결석 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 햇빛을 많이 보고 정상적인 식사를 하는 어린이, 고옥살산뇨증(뇨중에 과량의 수산염이 배설되는 상태), 임부 및 임신하고 있을 가능성이 있는 여성, 수유부, 미숙아, 유아, 심장ㆍ순환기계기능 장애, 신장장애, 저단백혈증, 통풍 또는 신장결석 환자 및 경험자, 폴산이 부족한 환자, 혈전(혈관 막힘)성 소인이 있는 환자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.각종 요검사 시에 혈당의 검출을 방해할 수 있으며, 요를 황색으로 변하게 하여 임상검사치에 영향을 줄 수 있습니다.1개월 정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","인산염, 칼슘염, 경구용 테트라사이클린계 제제, 제산제, 레보도파와?함께 복용하지 마십시오.에스트로겐을 포함한 경구용 피임제, 항알도스테론제, 트리암테렌과 함께?복용 시 의사 또는 약사와 상의하십시오.녹차, 홍차 등 탄닌을 함유하는 차는 복용 중, 복용 전후에는 피하십시오.","구역, 구토, 설사, 위부불쾌감, 변비, 발진, 발적, 묽은 변, 위장관장애, 소화장애, 상복부통증, 저혈압, 폐부종, 생리가 예정보다 빨라지거나 양이 점점 많아지거나, 출혈이 오래 지속될 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2021-01-29 00:00:00","2021-11-26","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/149805864617300081","1328101004","2576"
"2577","맥널티제약(주)","엘더킨크림4%(히드로퀴논)","201501564","이 약은 간반, 흑피증(기미), 주근깨, 노인성 검은반점, 기타 불필요한 부위의 과도한 멜라닌 색소 침착 피부의 점차적인 표백에 사용합니다.","1일 1~2회(아침, 취침 전) 질환 부위에 바릅니다.","이 약 사용중 또는 사용후에는 자외선 차단제를 사용하거나 햇빛에 대한 노출을 차단하십시오. 피부가 변색될 수 있습니다.동물실험에서 변이원성 및 발암성이 관찰되었으므로 장기간 사용하지 마십시오.","이 약에 과민증 환자,?임부 또는 임신하고 있을 가능성이 있는 여성,?12세 이하의 소아,?신장애 환자는 이 약을 사용하지 마십시오.이 약을 사용하기 전에 천식환자는?의사 또는 약사와 상의하십시오.이 약 사용 전에 피부에 소량을 바르고 24시간 관찰하여 피부과민반응을 테스트하여 경미한 발적에는 사용이 가능하지만 가려움, 수포, 과도한 염증이 나타날 경우에는 사용하지 마십시오.2개월 정도 사용하여도 증상의 개선이 없을 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.이 약은 피부탈색에만 사용하며 태양광선 차단 및 햇볕화상의 예방 목적으로는 사용하지 마십시오.이 약은 외용으로만 사용하십시오.눈 및 점막에 닿지 않도록 주의하십시오.","","때때로 접촉피부염과 같은 과민반응 등이 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","습기와 빛을 피해 30℃ 이하 건냉암소에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2021-01-29 00:00:00","2024-01-10","","2998102136","2577"
"2578","경방신약(주)","마리부틴정150mg(트리메부틴말레산염)","201501578","이 약은 식도역류 및 열공헤르니아, 위 십이지장염, 위ㆍ십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토), 과민성대장증후군 및 경련성 결장, 소아 질환(습관성 구토, 비감염성 장관통과장애 (변비, 설사))에 사용합니다.","성인은 1회 100~200 mg 1일 3회 식전에 복용합니다.연령, 증상에 따라 적절히 증감합니다.","","갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에?임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는?의사 또는 약사와 상의하십시오.","","드물게 변비, 설사, 복명, 구역, 구토, 소화장애, 구갈, 구내마비감, 심계항진, 피로감, 졸음, 현기, 권태감, 두통, GOT, GPT 상승이 나타날 수 있습니다.드물게 발진 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","실온에서 보관하십시오.","2021-01-29 00:00:00","2021-01-29","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Ms70TADW-o","1318151063","2578"
